Result,Account,Purpose,Hoursused,impact
79,1,1,1,1
55,1,0,4,0
79,1,1,1,1
79,1,1,2,1
78,1,1,1,0
56,1,0,4,0
50,1,0,5,0
66,1,0,2,0
79,1,0,1,1
82,1,1,2,1
69,1,0,1,0
89,1,1,1,1
76,1,1,3,1
78,1,1,2,1
79,1,1,1,1
78,1,1,2,1
78,1,1,2,1
78,1,0,4,0
61,1,0,3,0
78,1,0,2,1
72,1,0,3,0
40,1,0,5,0
68,1,0,2,1
40,1,0,5,0
45,1,0,5,0
67,1,0,3,0
67,1,0,4,0
55,1,0,6,0
93,1,0,1,1
45,1,0,5,0
57,1,0,6,0
68,1,1,3,1
78,1,1,4,1
79,1,1,1,1
67,1,0,5,1
78,1,1,1,1
79,1,1,1,1
67,1,0,2,1
69,1,0,3,1
79,1,1,2,1
56,1,0,5,0
78,1,0,2,1
78,1,1,2,1
40,1,0,6,0
40,1,0,5,0
89,1,1,2,1
90,1,0,2,1
40,1,0,3,0
65,1,0,2,1
79,1,1,1,1
55,1,0,3,0
55,1,0,5,0
56,1,0,6,0
78,1,1,4,1
79,1,1,2,1
67,1,0,1,1
40,1,0,5,0
40,1,0,6,0
40,1,0,2,0
67,1,0,1,1
40,1,0,4,0
78,1,1,2,1
70,1,0,4,0
79,1,0,1,1
40,1,0,5,0
87,1,1,1,1
58,1,0,4,0
79,1,1,2,1
40,1,0,5,0
80,1,0,1,1
21,1,1,4,0
79,1,1,5,1
78,1,0,3,1
70,1,1,4,1
67,1,0,4,0
67,1,0,2,1
